,Strain,Type,Rating,Effects,Flavor,Description,strain,id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
39,Afghani-Cbd,indica,4.6,"Relaxed,Happy,Sleepy,Tingly,Creative","Flowery,Chemical,Spicy/Herbal","Afghani CBD is a high-CBD variant of the landrace indica Afghani grown by Canadian LP Tilray. Named after its geographic origin Afghani CBD has relaxing, therapeutic properties that have shown potential to help those suffering with insomnia, chronic pain, and stress disorders.",afghani-cbd,1717,2,0,Afghani CBD,,,,Indica,,,"Relaxed, Happy, Sleepy, Uplifted, Creative, Dry Mouth","Stress, Inflammation, Pain, Depression, Nausea",Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Afghanica,hybrid,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Sweet,Flowery,Skunk","Afghanica is a strain created by Flying Dutchmen with a taste, form, and effects typical of Afghani varieties. Coupled with the yield, vigor, and general potency true to Skunks, it is a pleasure to grow and consume. This strain is cherished for its many medical applications including pain relief and insomnia, and its heavy physical characteristics are lent from its mother, Afghani #1.",afghanica,10,1,0,Afghanica,,,,Hybrid,10,Flying Dutchmen Seed Company,,,,,,0,,,0,,,0,,,,,,,,,
41,Afghanimal,indica,5.0,"Hungry,Relaxed,Aroused,Sleepy,Focused","Citrus,Skunk","Afghanimal by In House Genetics is a heavy indica-leaning cross of Afghani and Animal Cookies. This squat plant offers tight, rock-hard nuggets that reek of sweet, acrid earth intermixed with fruit and floral notes. It lends consumers heavy physical effects suited for pain relief, relaxation, and mood enhancement. Afghanimal’s smaller stature and snappy 7-8 week flowering time make it a perfect fit for indica-loving indoor growers seeking classic and modern indica-dominant genetics.",afghanimal,3773,2,0,Afghanimal,,,,Hybrid,,In House Genetics,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Afghooey,indica,4.1,"Uplifted,Euphoric,Relaxed,Talkative,Creative","Earthy,Sweet,Woody","Also known as Afgoo, Afghooey buds are light, fluffy, and heavily laden with a crystal coating of trichomes. Working this marijuana in your hand can become a very sticky situation. Smoking Afghooey provides you with a best of both worlds indica & sativa high.",afghooey,11,1,0,Afghooey,,,,Indica,0,,"Uplifted, Sleepy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Muscle Spasms","Earthy, Sweet",,,127,,,0,,,0,,,,,,,,,
43,Afgoo,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Sweet,Pine,Woody","Afgoo, also known as Afgooey, is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze. Its sativa parent may lend Afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors.",afgoo,12,1,0,Afgoo,,,,Indica,0,,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms","Pine, Earthy, Citrus",,,127,,,0,,,0,,,,,,,,,
44,Afgooey,indica,4.3,"Relaxed,Happy,Sleepy,Giggly,Uplifted","Woody,Pine,Pungent","Afgooey, also known as Afgoo, is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze. Its sativa parent may lend Afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors.",afgooey,13,1,0,Afgooey,,,,Indica,0,,"Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious","Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms","Earthy, Pine",,,0,,,0,,,0,,,,,,,,,
45,Afkansastan,indica,3.8,"Uplifted,Euphoric,Giggly,Happy,Relaxed","Tobacco,Earthy","Afkansastan is a relaxing Afghan landrace strain that packs a punch. It grows stout plants with dense, dark green buds that exhibit hints of purple and brick red pistils throughout. The smell is earthy and sweet, but shows off berry and stone fruit after grinding and on the exhale. This indica-dominant strain offers traditional sedative effects that curb physical discomfort, insomnia, and ignite the appetite. Utilize this strain later in the day to harness the best it has to offer.     ",afkansastan,1718,2,0,Afkansastan,,,,Indica,,,"Uplifted, Euphoric, Happy, Relaxed, Dry Mouth, Paranoid, Anxious","Depression, Pain, Nausea",Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Afpak,hybrid,4.2,"Relaxed,Creative,Focused,Sleepy,Happy","Pine,Spicy/Herbal,Earthy","Afpak, named for its direct Afghani and Pakistani landrace heritage, is a beautiful indica-dominant hybrid with light green and deep bluish purple leaves. The taste and aroma are floral with a touch of lemon, making the inhale light and smooth. Its effects start in the stomach by activating the appetite. There is also a potent relaxation that starts in the head and face, and gradually sinks down into the body. Enjoy this strain if you’re suffering from stress, mild physical discomfort, or having difficulty eating.  ",afpak,1289,2,0,Afpak,,,,Hybrid,,Unknown Breeder,,,,", CA",,1600,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,African,sativa,3.9,"Euphoric,Energetic,Aroused,Tingly,Creative","Spicy/Herbal,Pungent,Pepper","African refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect.",african,1419,2,0,African,,,,Sativa,,,"Happy, Creative, Euphoric, Energetic, Hungry, Paranoid, Dry Mouth, Anxious","Stress, Depression, Pain, Nausea, Lack of Appetite",Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Afrikaner,sativa,0.0,None,None,"Afrikaner by Cannabaal and master grower Waldo Botha is a pure South African landrace strain. This tall strain produces high levels of THCV alongside a healthy 20% THC content. It has an earthy hemp aroma, but the flavor is a “sweet picante weed stench,” or so says the producer. A pure sativa, Afrikaner energizes the body with a euphoric lust for life while keeping the mind fairly clear. Utilize this strain in the proper dosage to harness the physical stimulation and mood elevation for productive means.  ",afrikaner,1420,2,0,Afrikaner,,,,Sativa,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Afternoon-Delight,hybrid,4.8,"Talkative,Relaxed,Uplifted,Tingly,Creative","Pungent,Citrus,Tropical","Afternoon Delight, created by Colorado Seed Inc., is a difficult strain to track down. Noted for its small, dense nuggets and an aroma of pine and pungent terpenes, Afternoon Delight is described as an indica-dominant hybrid with a hazy aura that engulfs the mind and body. But indulge with caution, as this hybrid has also been known for its potency. ",afternoon-delight,4304,2,0,Afternoon Delight,,,,Hybrid,,Crockett Family Farms,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Afwreck,hybrid,4.2,"Euphoric,Happy,Uplifted,Relaxed,Sleepy","Earthy,Pine,Pungent",Afwreck is a hybrid cross of Afghani and Trainwreck.  Strong sativa effects with immediate head-concentrated high.,afwreck,14,1,0,Afwreck,,,,Hybrid,0,Unknown Breeder,,,,,,127,,,0,,,0,,,,,,,,,
51,Agent-Orange,hybrid,4.2,"Happy,Uplifted,Relaxed,Energetic,Euphoric","Citrus,Orange,Earthy","Don’t let the name scare you! The only herbicidal warfare Agent Orange will wage is between the excellence of this strain's flavors and uplifting effects. A well-balanced hybrid that combines the smooth Orange Velvet with the bold Jack the Ripper, Agent Orange will capture your senses. Wonderful smells of oranges and fresh-cut citrus fruit will entice you immediately, while the pigments of deep maroon and purple will make this bud stand out in a sea of green. The effects are uplifting and motivating, serving as a great mood enhancer if you are feeling lethargic or depressed.",agent-orange,15,1,0,Agent Orange,,,,Hybrid,"455, 386",TGA Seeds,,,,,,127,,,0,,,0,,,,,,,,,
52,Air-Jordan-Og,indica,4.5,"Happy,Relaxed,Euphoric,Sleepy,Tingly","Diesel,Pine,Spicy/Herbal","Air Jordan OG, grown exclusively by Good as Gold in California, is a pure indica strain that packs a punch. Don’t let the name fool you: Air Jordan OG’s potent, sedating effects will have you melting deep into the couch, priming you for a nap or good night’s sleep. This strain delivers its sleepy, relaxing effects with sharp aromas of wood and fresh pine.  ",air-jordan-og,1719,2,0,Air Jordan OG,,,,Indica,,,"Happy, Relaxed, Sleepy, Tingly, Euphoric, Dry Mouth","Insomnia, Stress, Depression",Pine,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Alaska,sativa,4.6,"Relaxed,Sleepy,Euphoric,Focused,Happy","Earthy,Woody,Pine","Alaska, developed by Tikun Olam, is an Israeli strain comprised of 70% sativa genetics. With uplifting effects intended for daytime consumption, Alaska has been found to successfully treat an array of medical symptoms including inflammation, pain, nausea, insomnia, and gastrointestinal disorders. ",alaska,1421,2,0,Alaska,,,,Hybrid,,Tikun Olam,"Relaxed, Uplifted, Euphoric, Happy, Energetic, Dry Mouth, Paranoid, Anxious","Stress, Depression, Insomnia, Pain, Lack of Appetite","Earthy, Pepper",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Alaskan-Ice,sativa,4.4,"Euphoric,Uplifted,Happy,Relaxed,Energetic","Sweet,Earthy,Spicy/Herbal","Alaskan Ice by Green House Seeds is a powerful sativa that crosses a euphoric White Widow hybrid with the energizing buzz of Haze. Frostlike resin blankets the buds in a promise of soaring psychoactivity, anchored only by its moderate CBD content. The intensity of this 70% sativa strain is recommended for evening consumption and unproductive weekends. Alaskan Ice is a slight variant of Moby Dick, but poses a greater challenge to growers; cultivators with the expertise to raise Alaskan Ice will be rewarded with a highly potent harvest of sour, spicy buds following a 9 week flowering period. The high resin content of Alaskan Ice has made this strain a favorite among hash producers and patients with severe symptoms.",alaskan-ice,1422,2,0,Alaskan Ice,,,,Hybrid,,Green House Seed Co.,"Euphoric, Happy, Relaxed, Uplifted, Hungry, Dry Mouth, Paranoid","Depression, Stress, Pain","Sweet, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Alaskan-Thunder-Fuck,sativa,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Earthy,Woody,Pine","Alaskan Thunder Fuck (also referred to as ATF, Matanuska Thunder Fuck or Matanuska Tundra) is a legendary sativa-dominant strain originating in the Matanuska Valley area of Alaska.  According to the legend, it was originally a Northern California sativa crossed with a Russian ruderalis, but sometime in the late 70s it was crossed with Afghani genetics to make it heartier.  ATF usually presents large, beautifully frosted buds with incredibly strong odors of pine, lemon, menthol, and skunk.  Known for possessing a relaxing yet intensely euphoric high, it is also described as having a “creeper” effect as well as pronounced appetite enhancement.",alaskan-thunder-fuck,18,1,0,Alaskan Thunder Fuck,,,,Sativa,0,Northern View Collective,"Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious","Stress, Depression, Lack of Appetite, Pain","Earthy, Pine","Mt. Shasta, CA",,1500,,,0,,,0,,,,,,,,,
56,Albert-Walker,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Mango,Blueberry","Albert Walker is an indica-dominant hybrid with unknown origins, but is thought to have descended from Afghan Skunk and bred in the Pacific Northwest. Evidence of its lineage is found in its sour lemon and skunky smell and heavy full-body effects that can last for several hours. Albert Walker’s euphoric and relaxing qualities make it a go-to strain for patients treating depression and anxiety, and may also have benefits for chronic pain and appetite loss. This clone-only strain may come as a challenge for some growers as the plants tend to require frequent attention and maintenance. However, the high yields following its 8-week flowering cycle could be considered a satisfactory reward.",albert-walker,9106,2,0,Albert Walker,,,,Hybrid,,Unknown Breeder,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Alchemy,hybrid,4.8,"Relaxed,Sleepy,Uplifted,Hungry,Tingly","Cheese,Sweet,Spicy/Herbal","Alchemy is a 50/50 hybrid cannabis strain that was conjured by combining Chemdawg and Querkle. This creation from TGA Genetics comes wreathed in purple fan leaves and lavender-tipped buds. With an aroma of sour grapes and earthy musk, Alchemy delivers a balance of relaxing body effects and engaged cerebral invigoration. Boasting high levels of THC, Alchemy is sure to restore both your mood and appetite.",alchemy,2373,2,0,Alchemy,,,,Hybrid,,TGA Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Alice-In-Wonderland,sativa,4.5,"Focused,Euphoric,Happy,Uplifted,Relaxed","Pine,Mint,Sweet","Alice in Wonderland is a mostly sativa strain with euphoric cerebral effects. It provides an elevated sensory experience, making it a favorite strain for creative pastimes, outdoor activities, a laid-back weekend, or daytime stress relief. Said to be a descendant of Willy’s Wonder, Alice in Wonderland has many therapeutic qualities, especially for those suffering from anxiety or depression.",alice-in-wonderland,1423,2,0,Alice in Wonderland,,,,Hybrid,,Unknown Breeder,"Relaxed, Happy, Uplifted, Focused, Creative, Dry Mouth, Anxious","Lack of Appetite, Stress, Depression, Muscle Spasms","Pine, Earthy, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Alien-Abduction,hybrid,3.8,"Happy,Relaxed,Focused,Uplifted,Creative","Earthy,Nutty,Sweet","Alien Abduction is an OG Kush hybrid bred by So-Cal medical collective Ocean Grown Genetics, who crossed an Alien OG male with the Ether cut of Alien Dawg. These seeds have been highly sought after by growers, as they are known to have great germination rates and multiple excellent phenotypes, all of which are robust and vigorous plants. Most phenotypes exhibit typical OG Kush smells and flavors, and pack a high-THC punch that combines a potent head buzz with a strongly sedating body high. For many patients, Alien Abduction is a great appetite stimulant and sleep aid.",alien-abduction,5179,2,0,Alien Abduction,,,,Hybrid,,Ocean Grown Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Alien-Apparition,hybrid,4.0,"Hungry,Energetic,Euphoric,Aroused,Tingly","Sweet,Pungent,Skunk","Alien Apparition is a cleverly named cross from Franchise Genetics. This spectral anomaly is brought to the material sphere with the help of a Ghost/Natural Born Killer hybrid and Alien Technology. Known for its happy, relaxing qualities, Alien Apparition combines the OG Kush-like elements of Ghost OG and Alien Technology’s euphoric sedation to create a potent hybrid best suited to afternoon consumption. Enjoy this strain to enhance mood and subdue general aches and pains.   ",alien-apparition,3473,2,0,Alien Apparition,,,,Hybrid,,Franchise Genetics,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Alien-Asshat,hybrid,4.8,"Euphoric,Creative,Giggly,Relaxed,Happy","Pungent,Citrus,Earthy","Alien Asshat is a hybrid cannabis strain grown by Sky High Gardens in Washington. With a staggeringly high THC content, Alien Asshat launches you into the cosmos with a powerful euphoric blast. Its buds are a tangle of green calyxes and leaves wrapped in a constellation of shining crystal resin. If you’re new to cannabis, be sure to start small with this heavy-hitter.",alien-asshat,4073,2,0,Alien Asshat,,,,Hybrid,,Unknown Breeder,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Alien-Bubba,indica,5.0,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Woody,Sweet","Alien Bubba is the intergalactic cross of the renowned Bubba Kush and the heady space invader, Alien Kush. This two-fold Kush blend offers mellow sedation with a mental aura most would describe as introspective or meditative. Its bouquet is earthy and floral, and when combusted, Alien Bubba shows off a pungent tea and herbaceous grassiness that is smooth on the exhale. Enjoy this heady heavy-hitter close to the end of the day to maximize its sedative effects.   ",alien-bubba,1720,2,0,Alien Bubba,,,,Hybrid,,The Cali Connection,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious","Stress, Depression, Pain, Insomnia, Lack of Appetite",Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Alien-Dawg,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Pungent,Woody","Descending from Northern California and Afghanistan genetics, Alien Dawg is a cross between Chemdawg and Alien Technology with a THC content of up to 20%. With a sour and pungent odor, Alien Dawg has a light, bitter taste and presents brilliant mind and body effects.",alien-dawg,447,1,0,Alien Dawg,,,,Indica,,,"Relaxed, Euphoric, Happy, Sleepy, Uplifted, Dry Mouth, Anxious","Stress, Pain, Insomnia, Nausea",Earthy,,,127,,,30,,,10,,,,,,,,,
64,Alien-Dutchess,sativa,4.2,"Euphoric,Relaxed,Uplifted,Focused,Happy","Sweet,Berry,Blueberry","Alien Dutchess by Cresco Labs brings together strong euphoria and deep relaxation to create a strain that is as potent as it is refined. Created by crossing Dutch Treat Haze and Alien OG, this strain exhibits a spicy, herbaceous aroma with hints of pine and lemon. The earthy and citrus notes shine through upon consumption. Alien Dutchess has been known to stimulate appetite and help abate nausea, headaches, and stress.",alien-dutchess,1424,2,0,Alien Dutchess,,,,Sativa,,,"Euphoric, Relaxed, Uplifted, Focused, Happy, Dry Mouth","Pain, Stress, Depression, Insomnia, Muscle Spasms","Sweet, Berry, Lemon",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
